recall_number,status,classification,state,country,recalling_firm,product_description,reason_for_recall,voluntary_mandated,recall_initiation_date,report_date,termination_date
F-2337-2016,Terminated,Class I,GA,United States,Flowers Foods,"Cobblestone Bread Co. Wheat English Muffins, 12 oz. (6 count)plastic bag (340g)  UPC: 0 72250 01316 1",Product contains undeclared milk,Voluntary: Firm initiated,20160330,20160928,20160916
F-0771-2014,Terminated,Class II,MO,United States,National Enzyme Co,"Bulk 9896 BIOMEDICALRESEARCH DIGE capsules, packaged in poly bags in corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 92115).",Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Voluntary: Firm initiated,20131030,20131225,20150303
F-1075-2013,Terminated,Class II,ND,United States,"Dakota Specialty Milling, Inc","10021 RM Honey Oat Bran Mixture - Hong Kong / Thailand (oats, oat bran, oat flour),   Roman Meal Company, Tacoma, Washington,  Net WT 20 KILOS.",Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,Voluntary: Firm initiated,20130214,20130320,20140110
F-3165-2017,Terminated,Class II,IL,United States,Newly Weds Foods Inc,"B27478,  BATTER MIX X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Voluntary: Firm initiated,20170503,20170726,20190805
F-0274-2023,Terminated,Class II,IN,United States,Klosterman Baking Company,Breads: Garlic product	8013	Clear Bag		Rolls	140	1.5 oz.	3 Garlic product	8014	Clear Bag		Breadsticks	110	1.5 oz.	23,Products held under insanitary conditions,Voluntary: Firm initiated,20221218,20230125,20230124
H-0526-2025,Terminated,Class II,CA,United States,Gelsons,Gelson's Hummus; Red Bell Pepper Old World Family Recipe California-Made No Added Oils NET WT 8OZ (226g) UPC: 23631-10262,"Gelson branded Hummus product labels do not include storage instructions ""keep refrigerated""",Voluntary: Firm initiated,20250725,20250903,20250930
F-0021-2021,Terminated,Class II,UT,United States,"Lucky Spoon Bakery, LLC","Lucky Spoon Bakery Gluten Free Chocolate Cupcakes with Vanilla Buttercream Frosting, 8.0 oz. plastic clam shell containing 4 cupcakes, UPC 8-50489-00310-4, P.O. Box 2954 Salt Lake City, UT 84110. 12 packages/case.",Products are labeled gluten-free. A batch of flour from the raw material supplier tested positive for gluten so the firm immediately initiated a recall of the affected products.,Voluntary: Firm initiated,20200826,20201021,20210302
F-1866-2012,Terminated,Class I,MA,United States,"Ken's Foods, Inc.",Lee's Cole Slaw Dressing 40oz pouches  Product Code: FQ2103,Products manufactured with Gills Onions recalled due to potential for Listeria monocytogenes,Voluntary: Firm initiated,20120726,20120815,20160322
F-0293-2017,Terminated,Class II,VT,United States,Koffee Kup Bakery Inc.,Big Y Plain Grinders- Enriched wheat  and Enriched White packaged 15 oz,Baked bread products may contain foreign material-plastic pieces,Voluntary: Firm initiated,20160917,20161116,20161207
F-0118-2021,Terminated,Class II,OH,United States,"Rosebud's Ranch and Garden, LLC",Rosebud's brand Elderberry Syrup Kit in a 3 oz. clear stand-up pouch (GS1 Code 852782007834).,Potential salmonella contamination in elderberries.,Voluntary: Firm initiated,20201106,20201125,20230314
F-1254-2018,Terminated,Class II,MN,United States,Target Corporation,Simply Balanced Quinoa Spinach Red Pepper Onion Chickpeas 10oz;    UPC: 85239058107    Target item number: 270-0-581,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Voluntary: Firm initiated,20180327,20180509,20180503
F-1597-2023,Terminated,Class II,NM,United States,"Vitality Works, Inc","100 vegetarian  Fenugreek Capsules 90 count, 600mg, packaged in 150cc Amber Glass Packer  with White Polypropylene Cap.",Foreign material: pieces of a pen (writing utensil).,Voluntary: Firm initiated,20230822,20231004,20231113
F-1446-2016,Terminated,Class II,GA,United States,CSM Bakery Products NA,"¿ Sheet Unbaked Message Cookie, 20/20 oz. Unbaked Chocolate Chip Cookies, Net Weight 25 lbs/11.34 kg.",Undeclared allergen; Peanut protein.,Voluntary: Firm initiated,20160419,20160622,20170717
F-2280-2015,Terminated,Class II,NJ,United States,"Gourmet Kitchen, Inc.","Lobster & Shrimp Spring Rolls      Products are placed on plastic trays, shrink wrapped, placed in boxes, labelled, & shrink wrapped.",Products may contain peanut protein.,Voluntary: Firm initiated,20150315,20150520,20160412
F-0765-2018,Terminated,Class I,PR,United States,"Productos Pacheco, Inc.",Pound Cake NET WT 4OZ and 12OZ.,"Undeclared allergens: wheat, soy, and milk.",Voluntary: Firm initiated,20180102,20180214,20190919
F-0852-2015,Terminated,Class I,NC,United States,"SunBurst Foods, Inc.","Sausage, Egg & Cheese Croissant, Net Wt. 5.00 oz., UPC 7-01248-00523-8, MFG Code 623",Listeria monocytogenes,Voluntary: Firm initiated,20141010,20150204,20150618
F-0187-2016,Terminated,Class II,PA,United States,Herrs Foods Inc,Herr's Sour Cream & Onion Flavored Potato Chips,Herr Foods Inc. has initiated a voluntary recall of certain bags of its 1.875 oz. Sour Cream and Onion flavored Potato Chips due to a packaging error that incorrectly states that the product is gluten free.     While the back panel of the package complies with U.S. Food & Drug Administration (FDA) label regulations by listing Wheat in the ingredient statement as well as Contains Wheat in its,Voluntary: Firm initiated,20151027,20151125,20161201
F-3550-2017,Terminated,Class II,MD,United States,Kilby Cream,"Kilby Cream Ice Cream Various Flavors: Strawberry Cheesecake    Size: 2.5 Gal , 7 oz.",According to the firm a process deviation and proper temperatures were not reached during ice cream production and mix storage.,Voluntary: Firm initiated,20170804,20170927,20180103
F-1463-2018,Terminated,Class I,UT,United States,Badger Botanicals LLC,"Acadica Kratom:  Green Suma, 250g bags","Recalling Red Suma, Green Suma, Red Hulu 2, Green Hulu 2 Kratom products due to potential salmonella.",Voluntary: Firm initiated,20180502,20180516,20220419
F-1356-2018,Terminated,Class II,MN,United States,Target Corporation,CW ULTIMATE SOUTHWEST VEG 14OZ    UPC: 70332002881    Target item number: 270-0-4,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Voluntary: Firm initiated,20180327,20180509,20180503
F-3299-2017,Terminated,Class II,IL,United States,Newly Weds Foods Inc,"B86036, BATTER MX X1*, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Voluntary: Firm initiated,20170503,20170726,20190805
F-0580-2023,Terminated,Class III,NJ,United States,TWO RIVERS COFFEE LLC,"Cold Stone Creamery Hot Cocoa Peanut Butter Cup Perfection packaged in single serve pods.   Pods are packaged in the following Two Rivers Variety Pack boxes: -Two Rivers Coffee Hot Cocoa Pods, Single Serve Variety Sampler Pack , 40 Count UPC: 810683022554 -Two Rivers Coffee Hot Cocoa Pods Variety Sampler, 52 Count UPC:850027429601 -Two Rivers Coffee Hot Cocoa Pods Variety Sampler, 52 Count	UPC: 810683027030 -Two Rivers Coffee Coffee, Tea, Cocoa, Cider, Cappuccino Bit Of Everything Variety Sampler Pack, 40 count UPC: 810683022608 -Two Rivers Coffee Coffee, Tea, Cocoa, Cider, Cappuccino Bit Of Everything Variety Sampler Pack, 100 count UPC: 810683027009 -Two Rivers Coffee Coffee & Hot Cocoa Chocoholics, 40 Count UPC: 810683025197 -Two Rivers Coffee Hot Chocolate Variety, Gift Box, 12 Count UPC: 810683026989 -Two Rivers Coffee Best of The Best Pods Variety Sampler Assorted Cocoa, 40 Count UPC: 810683029744",Coffee pods may contain undeclared peanut residue,Voluntary: Firm initiated,20230131,20230322,20230816
F-3101-2017,Terminated,Class II,IL,United States,Newly Weds Foods Inc,"A85729, BATTER MX X1@, NET WT 1900 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Voluntary: Firm initiated,20170503,20170726,20190805
F-1620-2024,Terminated,Class III,OR,United States,Urban River Spirits,Lemon Drop Mixer is a non-alcoholic cocktail mixer.  Product is packaged in glass 750ml bottle and sold under brand Urban River Spirits. Label has listed instructions as Shake Well Refrigerated After Opening.,Firm made non-alcoholic drink mixer in an unlicensed and uninspected facility. The product safety is concerned due to potential under-processing.,Voluntary: Firm initiated,20240701,20240814,20240813
F-2686-2015,Terminated,Class I,TX,United States,"Blue Bell Creameries, L.P.",Blue Bell Ice Cream Purple Homemade Vanilla 3 Gallon,Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,Voluntary: Firm initiated,20150313,20150701,20161103
F-1402-2023,Terminated,Class II,CA,United States,"California Ranch Food Company, Inc.","Trader Joe's Fully Cooked Falafel Heat & Eat NET WT. 12 OZ (340g) Distributed and Sold Exclusively By: Trader Joe's Monrovia, CA 91016  UPC 0093 9355",Foreign object; rocks.,Voluntary: Firm initiated,20230728,20230823,20250320
F-1220-2018,Terminated,Class II,MN,United States,Target Corporation,2-ct. (9-oz.) Hot Pockets X Four Cheese Pizza    UPC: 43695071092    Target item number: 270-6-190,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Voluntary: Firm initiated,20180327,20180509,20180503
F-2370-2015,Terminated,Class I,IA,United States,Frontier Natural Products Co-op,"Frontier Natural Products Co-Op Organic Mama Garlic packaged in a cardboard canister with paper label Net  Wt. 5 oz (141 g), UPC 0 89836 18506 8.  The responsible name on the package is Frontier Norway, IA.",Product may be contaminated with Salmonella.,Voluntary: Firm initiated,20150316,20150610,20170330
F-1062-2020,Terminated,Class II,FL,United States,Fresh Express Incorporated,"Fresh Express Chopped Kit Thai 'N' Cashews 11.7 oz, UPC 071279309248, (Canada UPC) 0 71279 30925 5, Green and red cabbage, green leaf lettuce, carrots & green onions","Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",Voluntary: Firm initiated,20200619,20200722,20201216
F-2473-2014,Terminated,Class II,OH,United States,Jenis Splendid Ice Creams LLC,Savannah Buttermint- possible pints/possible half gallon.  Flavor of frozen dessert on the immediate package.  No ingredients listed.,Frozen desserts do not include ingredients on the labeling.,Voluntary: Firm initiated,20080707,20140924,20141106
F1734-2016,Terminated,Class II,MI,United States,Kellogg Company,"Keebler Graham Crumbs, 160 oz. , 400 oz.",Kellogg Company initiated a voluntary recall of multiple snack food items because of the potential for undeclared allergen peanut due to a supplier's recall of flour.,Voluntary: Firm initiated,20160613,20160727,20170213
F-0767-2014,Terminated,Class II,MO,United States,National Enzyme Co,"Bulk 9730 BIOSANLABS GLUTENEZYME capsules, packaged in poly bags in corrugated boxes (for domestic distribution) or fiber drums (for international distribution) (SKU 92103).",Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Voluntary: Firm initiated,20131030,20131225,20150303
F-2171-2012,Terminated,Class I,WI,United States,"Garden-Fresh Foods, Inc.","Acme Creamed Cabbage, Net Wt. 16 oz., UPC 0 11596 14025 1","Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",Voluntary: Firm initiated,20120727,20120919,20121115
F-2656-2017,Terminated,Class II,NH,United States,High Liner Foods Inc.,"Southern Home 12/24oz Breaded Minced Fish Sticks,  Item Number: B1133",Product may contain undeclared milk.,Voluntary: Firm initiated,20170609,20170823,20171214
F-0983-2015,Terminated,Class I,WA,United States,"Husky Ice Cream,Inc","Blackberry Cheesecake ice cream is packed in 2.5 gallon bulk, 1.5 gallon bulk, or half gallon retail size tubs.  Retail size ice cream flavor is labeled in part, ""***Husky Ice Cream, Inc. 4721 California Ave SW Seattle, WA 98116  HUSKY ""Cream of the Town"" HALF GALLON ICE CREAM www.huskydeli.com INGREDIENTS: CREAM, MILK, SKIM MILK POWDER, SUGAR, CORN SYRUP SOLIDS, CAROB BEAN GUM, GUAR GUM, SOY LECITHIN, CARRAGEENAN"".     No UPC code.","Blackberry Cheesecake Husky ice cream is being recalled due to the potential to be contaminated with Listeria monocytogenes. This product contains an ice cream mix ingredient manufactured and recalled by Snoqualmie Gourmet Ice Cream, Inc.",Voluntary: Firm initiated,20141224,20150211,20150323
F-0651-2019,Terminated,Class I,PA,United States,Bazzini LLC,BAZZINI S ROASTED & SALTED IN-SHELL SUPER COLOSSAL PISTACHIOS 25 LB BULK BOX   UPC #0 75062 30700 8,The product tested positive for Salmonella.,Voluntary: Firm initiated,20181006,20181128,20220315
F-3075-2017,Terminated,Class II,IL,United States,Newly Weds Foods Inc,"A81911, BATTER MX X1*, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Voluntary: Firm initiated,20170503,20170726,20190805
F-1882-2012,Terminated,Class I,CA,United States,GH Foods CA LLC,"Asian Stir Fry, packaged under the following labels and sizes:  Delish, 8.5 oz.  Albertson's Generic Label, 10 oz,  Chef Essentials - 10 oz.  Raley's, 10 oz.    Manufactured by GH Foods CA LLC,  Rancho Cordova, CA.",GH Foods CA received notification from Gills onions of a recall of onions due to Listeria Monocytogenes. GH Foods used the recalled onions in numerous product.,Voluntary: Firm initiated,20120726,20120815,20130131
F-1595-2014,Terminated,Class I,IN,United States,"Rise'n Roll Bakery, LLC","Rise n Roll Bakery & Deli, Bavarian Creme Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457,    variety donut box identifying all donut varieties     Bavarian Creme Donuts  Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)     FILLING: High fructose corn syrup, sugar, food starch modified, palm oil, salt, titanium dioxide, agar sorbic acid, sodium benzoate, potassium sorbate, artificial flavor, modified cellulose, propylene glyocol, glycerin, corn starch, dextrose, polysorbate 80 & 60, sorbitan monostearate, sodium citrate, xanthangum, annatto, caramel color, yellow 5, yellow 6.     Contains wheat, soy and milk",Undeclared egg ingredient,Voluntary: Firm initiated,20140115,20140312,20140423
F-0482-2013,Terminated,Class I,NM,United States,"Sunland, Incorporated","Sunland Organic Creamy Valencia Peanut Butter, 16 oz, UPC 048687329700;   500 g, UPC 48687328093.","Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",Voluntary: Firm initiated,20120924,20121031,20141001
F-1984-2014,Terminated,Class II,OR,United States,Royal Rye LLC,KrustaVita¿ Bread of Life brand Sourdough Dark Rye Bread; Net Weight 20 oz (1.25 lb); packed in a clear plastic bag.  UPC: 8 5243000200 6.,Royal Rye LLC is recalling their KrustaVita¿ Bread of Life rye bread due to undeclared soy.,Voluntary: Firm initiated,20140520,20140611,20140602
F-1976-2019,Terminated,Class I,CA,United States,"Wismettac Asian Foods, INC","Shirakiku FISH CAKE GOBO MAKI SK F:  20/ 150G, Net Wt. 5.29 oz.  Keep Frozen, 5 pcs.  UPC 07441092550    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA","Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.",Voluntary: Firm initiated,20190711,20190814,20200128
F-0051-2016,Terminated,Class II,PA,United States,"Nutrition Resource Services, Inc.","JBN (Just Be Natural) French Vanilla Cream Whey Superior NET WT. 32.8 oz. (2.05 lb) 930g and NET WT. 98.4 oz. (6.15 lb) 2,790g - DIETARY SUPPLEMENT, packaged in plastic bottles, UPC codes: 655455001685, 655455001777, MANUFACTURED BY NRS -Nutrition Resource Services, Inc. DISTRIBUTED BY JBN -Just Be Natural INGREDIENTS: Whey protein concentrate, Whey protein isolate, Natural Flavor with other Natural Flavors, Soluable Corn Fiber, Cellulose, Xanthan and Carrageenan Gums, Maltodextrin, Salt, Sucralose. ALLERGEN STATEMENT: This product could have been transported, manufactured, or processed in a facility that contains milk, egg, fish, crustacean shellfish, tree nuts, wheat, peanuts and soybeans.","Protein powders and nutritional supplement products made of whey concentrate, whey isolate, casein, and colostrum are not labeled as containing milk",Voluntary: Firm initiated,20150730,20151028,20161205
F-0692-2018,Terminated,Class II,FL,United States,Hom'ade Foods,"Mary B's Butter Taste, 20 Biscuits, Value Pack, NET WT. 44 oz (2LB 12 OZ)1247g; and Mary B's Butter Taste, 30 Biscuits, Family Pack, NET WT. 60 oz (3LB 12 OZ) 1701g",Products have the potential to be contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20180108,20180207,20190424
F-0527-2021,Terminated,Class II,IL,United States,Newly Weds Foods Inc,"Newly Weds B70858 bread crumbs X1, 40lbs bag",Foreign material,Voluntary: Firm initiated,20210427,20210526,20220209
F-0388-2023,Terminated,Class III,NJ,United States,Corim International Coffee Inc.,"Smart Sips, 24 ct single serve coffee pods (12.7 oz carton)","Corim Industries, 1112 Industrial Parkway, Brick, NJ 08724 is initiating a recall of Agglomerated Peanut Butter Hot Chocolate, Peanut Butter Cappuccino, 500lb sacks; single serve cups (15g), single serve packets (28g) because of undeclared peanut allergen.",Voluntary: Firm initiated,20230113,20230308,20230308
F-2330-2016,Terminated,Class II,OH,United States,"Kanan Enterprises, Inc.","Southern Grove Cashews with Sea Salt, a 10 ounce stand up pouch bag with a UPC 0 38445 12286 5 and the date codes of Best By May 24 2017 KN and August 05 2017 KN",This recall has been initiated due to the possible presence of peanuts.,Voluntary: Firm initiated,20160903,20160928,20161220
F-1807-2024,Terminated,Class II,CO,United States,"American Outdoor Products, Inc.","American Outdoor Products - Astronaut Strawberries, packaged in 0.5oz (14g) metallic plastic pouches. Sold individually or in 6, 12, 40, or 160 count cases. One unit is also included in the Outerspace Survival Dessert Kit. Shelf stable.",Elevated levels of lead,Voluntary: Firm initiated,20240822,20240918,20250117
F-0482-2023,Terminated,Class I,MD,United States,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine","Naval Academy1845 Coffee, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated","On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",Voluntary: Firm initiated,20230203,20230322,20231017
F-3398-2017,Terminated,Class II,MO,United States,Shatto Milk Co,"Cookin' Unsalted Butter, packaged in 8 oz plastic tubs. Plant # 29-685 Osborn, MO.",Undeclared allergens: Butter fails to disclose the presence of milk and ice cream sandwiches fail to disclose the presence of wheat.,Voluntary: Firm initiated,20170626,20170830,20180917
F-0759-2025,Terminated,Class II,KS,United States,Emily Kate's Foods,"Emily Kate's Gluten Free Vanilla Cake, Net Wt. 6.4oz, Emily Kate's Foods, Kansas City, KS 66106, UPC 850581007253",Foreign material (foil) found in cake slices,Voluntary: Firm initiated,20250411,20250507,20250605
F-0320-2017,Terminated,Class II,OR,United States,JJBL LLC,"The Stone Ground Peanut Butter Chocolate Bar, Net wt. 2.5 oz. UPC 8 55966 00107 9.",The Stone Ground Peanut Butter Chocolate Bar is recalled due to undeclared soy lecithin.,Voluntary: Firm initiated,20161011,20161109,20161221
F-1898-2017,Terminated,Class I,IN,United States,"Deutsch Kase Haus, LLC",Liquid Whey; Bulk.,Potential Listeria monocytogenes contamination.,Voluntary: Firm initiated,20170205,20170503,20171005
F-1622-2018,Terminated,Class II,WA,United States,Talking Rain Beverage Co Inc,"Sparkling ICE Cherry Limeade Naturally Flavored Sparking Water, packaged in a PET bottles with a plastic cap, Net Wt. 17 ounces (502.8 ml).    UPC code on bottle: 0 16571 95084 2.  UPC on Single Pack Wrapper (1 flavor/12 bottles): 016571953126  UPC on Single Pack Wrapper (1 flavor/24 bottles): NONE    ******************************************************************************************  Sparkling ICE Cherry Limeade is also assembled and sold in Variety Packs with other flavors (those other flavors are not affected by this recall).      The UPCs on those Variety Packs are:    016571953614 (4 flavors/6 bottles of Sparkling ICE Cherry Limeade/24 bottles total).    016571950927 (4 flavors/3 bottles of Sparkling ICE Cherry Limeade/12 bottles total).    016571951283 (3 flavors/6 bottles of Sparkling ICE Cherry Limeade/18 bottles total .    016571950866 (UPC on Pallets of variety packs).","Sparkling ICE Cherry Limeade, 17 oz. bottles, is recalled after the firm received a small number of customer complaints that reported an off-taste and off-odor of the product.",Voluntary: Firm initiated,20180622,20180718,20190708
F-1261-2023,Terminated,Class I,MN,United States,SunOpta Grains and Foods Inc.,"Cherries packaged under the following brands and sizes:   1.  Great Value Dark Sweet Cherries, Pitted.  Net Wt 16 oz (1 lb) 454g, UPC 	0 78742-11209 1.  Keep Frozen.  Distributed by:  Walmart Inc., Bentonville, AR  72716   2.  Good & Gather Dark Sweet Whole Pitted Cherries.  Net Wt 12 oz (340 g), UPC 0 85239-04816 0.  Keep Frozen.  Distributed By  Target Corporation Minneapolis, MN  55403   3.  Best Choice Superior Selections Pitted Red Tart Cherries, unsweetened.  Net Wt 12 oz (340 g), UPC 0 70038-65496 4.  Keep Frozen.  Proudly Distributed By:  Asociated Wholesale Grocers, Inc., Kansas City, Kansas  66106",Fruit products have the potential to be contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20230616,20230726,20240207
F-2576-2016,Terminated,Class I,KS,United States,Rabbit Creek Products Inc.,"Cinnamon Swirl Quick Bread Mix, packaged in a plastic bag which is placed in a cardboard box, net wt. 16.5oz, UPC 010749008502","Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",Voluntary: Firm initiated,20160809,20161012,20180110
F-2166-2012,Terminated,Class I,FL,United States,Ron Stockman Whole Foods,"Gills Onions were used in this product.     The Tuna With Sun-Dried Cranberries & Lemon  is sold at the chef's case, self serve counter, or packaged.    Packaged product is labeled as listed below:    ""***WHOLE FOODS MARKET***TUNA WITH SUN-DRIED CRANBERRIES AND LEMON*** TUNA ( TUNA, WATER, VEGETABLE BROTH (CARROTS & PEAS), SALT), ONIONS....***""","Whole Foods Market in Florida recalled certain fresh food items sold in the prepared foods department and one item in the seafood department as they could of been made using raw yellow onions processed by Gill Onions, LLC. Gill Onions, LLC initiated a recall on their product due to possible Listeria monocytogenes contamination.",Voluntary: Firm initiated,20120727,20120919,20120919
F-3376-2017,Terminated,Class I,CA,United States,Laura's Boston Brownies,Bhufit Bar Chocolate Tart Cherry Pistachio;  Vegan Organic Pea Protein  Net Wt. 1.6 oz. (45G),Potential Listeria monocytogenes contamination.,Voluntary: Firm initiated,20170614,20170823,20170908
F-0258-2013,Terminated,Class II,MI,United States,Spartan Central Kitchen,#301 Creamy Redskin Potato Salad	5 pounds,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",Voluntary: Firm initiated,20120910,20121024,20130219
F-0968-2021,Terminated,Class II,WA,United States,"Full Tilt Ice Cream, LLC","Huckleberry Chip, Full Tilt Ice Cream brand, packaged in 3 gallon tubs. No UPC.",The ice cream mix did not meet pasteurization specifications.,Voluntary: Firm initiated,20210729,20210922,20220124
F-1706-2019,Terminated,Class II,MA,United States,"C & S Wholesale Grocers, Inc.","DAISY SQUEEZE SOUR CREAM - 14OZ, UPC: 7342001614",Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,Voluntary: Firm initiated,20190617,20190731,20190731
F-1301-2024,Terminated,Class II,AR,United States,Rise Baking Company dba South Coast Baking,"Panera Oatmeal Raisin with Berries Cookie, Net Wt. 41.25 lb (18.71kg), 220/3 oz cookie dough pucks/case",Potential Salmonella contamination,Voluntary: Firm initiated,20240502,20240612,20241115
F-0069-2017,Terminated,Class II,MN,United States,Northern Tier Bakery,"Supermoms Kitchen Roast Beef & Cheddar Melt, Net Wt. 3.7 oz (105g).  Keep Refrigerated.  UPC 63913-94236","One lot of Super moms Roast Beef & Cheddar Melt was mislabeled and did not declare monosodium glutamate, yellow 5, and yellow 6.",Voluntary: Firm initiated,20160814,20161019,20190822
H-1016-2026,Terminated,Class II,ID,United States,Albertsons Companies LLC,UPC 21163600000 Ready Meals SALAD WALDORF SS            This is Albertson's store-made item and sold by random weight at point of sale with grocery store's scale label.,Contains statement does not declare Walnut,Voluntary: Firm initiated,20260506,20260610,20260702
F-2113-2016,Terminated,Class II,MO,United States,"Hostess Brands, LLC","Hostess Chocodile Twinkies, chocolate covered sponge cake with creamy filling, packaged in 9-ct multi-packs of individual cakes, net wt. 13.02 oz (396 g), UPC 888109110499; and 6-ct. single serving fun size snack packs, individual pack net wt. 2.89 oz (82 g), UPC 888109010492.  The responsible firm name on the label is Hostess Brands LLC, Kansas City, MO 64141.",Product is manufactured with flour known to contain peanut allergen and is not labeled to contain peanuts.,Voluntary: Firm initiated,20160603,20160921,20171201
F-2019-2016,Terminated,Class I,CA,United States,Hampton Creek Foods,"JUST Devil's Food Cake Mix;   NET WT 20 oz. (1 lb 4 oz) 567 g);   UPC 8 54829 00643 5.     Ingredients: Muffin Mix: Enriched flours, {bleached (wheat flour, niacin, reduced Iron, thiamine mononitrate, riboflavin, folic acid), unbleached (Wheat flour, malted barley flour, niacin, reduced Iron, thiamine Monocitrate, riboflavin, folic acid), Sugar, Palm Oil., Alkalized Cocoa. . Contains less than 2% of Baking Powder )Sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate) Baking Soda, Citric Acid, Coconut Milk Powder (coconut milk, tapioca syrup), Natural Flavors, Oat Bran, Oat Hull Fiber, Salt, Sodium Aliginate, Sorghum Flour, Soy milk powder, Xanthan Gum.     Blueberry Mix: Blueberries, Water: Crumble Mix: Sugar, Brown Sugar, Maltodextrin, Palm Oil, Enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine monocitrate, riboflavin, folic acid), cinnamon, Salt, Natural Flavors:     Contains: Wheat, Soy, Coconut. Bake at 350 degrees for 24-34 minutes depending on pan size. Distributed by Hampton Creek, Inc., San Francisco, CA 94103.",Firm received a positive test result for Salmonella in Coconut Milk powder which was used in the manufacturing on six cake and muffin mixes.,Voluntary: Firm initiated,20160729,20160907,20161028
F-0389-2019,Terminated,Class II,MI,United States,Request Foods Incorporated,"Kashi, Fire Roasted Quinoa Bowl 9.5oz.  UPC 18627 10769  Frozen  8, 9.5oz. units per case",The firm was notified by their supplier that ingredients used in their products were possibly contaminated with Listeria monocytogenes and Salmonella.,Voluntary: Firm initiated,20181015,20181114,20200520
F-2546-2017,Terminated,Class II,MA,United States,"National Fish & Seafood, Inc.",LIL FISHERMAN PRE COOKED POLLOCK NUGGETS 1 OZ PUFI 1/10 LB,Product may contain undeclared milk.,Voluntary: Firm initiated,20170608,20170719,20180501
F-0753-2014,Terminated,Class II,MO,United States,National Enzyme Co,"Dietary Supplements packaged in the following configurations:   (1) Bulk 6916 Shanghai DigestiveBlend powder, packaged in varying quantities in poly bags within fiber drums (SKU 83274);  (2) Bulk 6916 WEDAR DIGESTIVEBLEND powder, packaged in varying quantities in poly bags within fiber drums (SKU 82426);",Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Voluntary: Firm initiated,20131030,20131225,20150303
F-0709-2023,Terminated,Class III,TX,United States,TIPPCON LLC,"Perrona Hot Sauce  Original with Chiltepin Peppers 5 fl oz (148ml) UPC 75 03016 55507 4 packaged in a PET bottle, 12 bottles per case",Mold growth on the outside of the bottle,Voluntary: Firm initiated,20230313,20230419,20240325
